เชียงราย,31.0 °C
เชียงใหม่,31.9 °C
แม่ฮ่องสอน,33.9 °C
ตาก,28.0 °C
น่าน,31.0 °C
อุตรดิตถ์,32.6 °C
พิษณุโลก,31.1 °C
กำแพงเพชร,28.2 °C
พิจิตร,32.1 °C
สุโขทัย,32.0 °C
พะเยา,30.9 °C
ลำพูน,30.5 °C
ลำปาง,27.5 °C
แพร่,32.5 °C
เพชรบูรณ์,33.6 °C
หนองคาย,28.0 °C
เลย,29.4 °C
ขอนแก่น,31.5 °C
อุบลราชธานี,34.4 °C
นครราชสีมา,31.0 °C
ร้อยเอ็ด,32.6 °C
มุกดาหาร,32.0 °C
อุดรธานี,27.5 °C
หนองบัวลำภู,28.6 °C
นครพนม,30.5 °C
สกลนคร,30.0 °C
มหาสารคาม,32.2 °C
กาฬสินธุ์,31.0 °C
ชัยภูมิ,31.7 °C
ศรีสะเกษ,34.0 °C
ยโสธร,33.0 °C
สุรินทร์,31.7 °C
บุรีรัมย์,31.2 °C
อำนาจเจริญ,32.1 °C
กาญจนบุรี,32.0 °C
นครสวรรค์,31.3 °C
กรุงเทพมหานคร,33.5 °C
สุพรรณบุรี,32.5 °C
ชัยนาท,32.5 °C
ลพบุรี,32.0 °C
พระนครศรีอยุธยา,34.3 °C
ราชบุรี,32.3 °C
ปทุมธานี,33.6 °C
สมุทรสงคราม,31.7 °C
อุทัยธานี,32.0 °C
นครปฐม,31.4 °C
สมุทรปราการ,29.5 °C
สระแก้ว,28.2 °C
ชลบุรี,33.2 °C
ระยอง,33.0 °C
ปราจีนบุรี,28.8 °C
ตราด,35.0 °C
จันทบุรี,33.7 °C
ฉะเชิงเทรา,31.2 °C
นครนายก,20.2 °C
พัทยา,29.5 °C
ประจวบคีรีขันธ์,27.5 °C
ชุมพร,31.3 °C
นครศรีธรรมราช,29.2 °C
นราธิวาส,32.4 °C
สุราษฎร์ธานี,30.6 °C
ยะลา,29.6 °C
ปัตตานี,34.0 °C
สงขลา,31.8 °C
เพชรบุรี,31.0 °C
หัวหิน (ประจวบคีรีขันธ์),25.5 °C
เกาะสมุย (สุราษฎร์ธานี),28.5 °C
พัทลุง,29.4 °C
ระนอง,32.0 °C
ภูเก็ต,32.7 °C
กระบี่,31.0 °C
ตรัง,30.1 °C
พังงา,32.4 °C
สตูล,32.7 °C
หาดใหญ่,31.4 °C
บึงกาฬ,30.6 °C
